Name,Age,GPA,Credits Completed,Year,Pathway
Joe Johnson,18,1.03,31,Victory Lap,Culinary
Joe Wilson,14,3.72,14,Senior,Engineering
Lisa Davis,14,4.09,14,Sophomore,Biomed
Andrew Brown,17,2.08,54,Senior,Culinary
Jack Garcia,14,4.21,6,Senior,Construction
Mac Jones,16,4.18,30,Sophomore,Culinary
Lisa Moore,18,2.65,0,Senior,Early College
Danielle Williams,16,3.42,58,Senior,Early Childhood Education
Alexis Johnson,16,0.72,18,Junior,Early College
Emily Garcia,18,0.43,37,Victory Lap,Marketing
Aiden Davis,19,1.2,11,Junior,Marketing
Bella Smith,18,2.73,57,Senior,Criminsl Justice
Chloe Fogarty,17,2.34,29,Senior,Business
Sarah Davis,16,2.78,43,Senior,Culinary
Noah Foster,17,3.45,6,Senior,Criminsl Justice
Andrew Miller,19,2.13,54,Junior,Construction
Emily Moore,18,2.38,47,Senior,Criminsl Justice
Kyan DeFreitas,16,3.65,43,Sophomore,Business
Noah Miller,18,2.72,4,Victory Lap,Biomed
Jack Williams,15,2.06,35,Victory Lap,Construction
Aiden Anderson,14,2.34,36,Victory Lap,Engineering
Lisa Miller,14,0.7,26,Sophomore,Marketing
Lisa Foster,16,3.22,26,Freshman,Computer Science
Danielle Davis,19,2.97,43,Senior,Construction
Alexis Williams,18,3.36,28,Victory Lap,Culinary
Aiden Smith,15,3.6,17,Junior,Early College
Amelia Jones,18,1.39,51,Sophomore,Biomed
Jack Anderson,14,2.6,8,Senior,Computer Science
Chloe Moore,17,3.02,49,Junior,Early Childhood Education
Chloe Miller,17,3.49,38,Senior,Biomed
Danielle DeFreitas,19,2.22,38,Senior,Criminsl Justice
Andrew Fogarty,14,3.64,1,Junior,Construction
Alexis Williams,14,2.06,5,Sophomore,Marketing
Emily Foster,15,2.1,50,Victory Lap,Engineering
Danielle Fogarty,17,4.11,57,Junior,Early Childhood Education
Joe Garcia,15,3.21,10,Senior,Construction
Bella Fogarty,15,3.06,49,Sophomore,Early College
Bella Davis,19,2.65,46,Victory Lap,Culinary
Ben Manukyan,14,3.96,57,Freshman,Engineering
Lisa Williams,14,1.32,37,Freshman,Business
Bella DeFreitas,17,4.02,27,Victory Lap,Computer Science
Alexis Foster,16,2.39,37,Senior,Engineering
Ben Manukyan,18,3.94,18,Victory Lap,Marketing
Kyan Fogarty,18,0.31,2,Victory Lap,Construction
Bella Foster,14,1.0,2,Victory Lap,Culinary
Mac Manukyan,14,2.68,52,Senior,Construction
Danielle Davis,18,1.94,36,Junior,Early College
Ben Garcia,17,3.89,58,Victory Lap,Computer Science
Amelia Smith,14,1.61,42,Sophomore,Engineering
Max Fogarty,16,2.03,30,Sophomore,Marketing
Chloe Moore,15,1.46,33,Victory Lap,Engineering
Kyan Davis,15,3.42,7,Freshman,Construction
Aiden Jones,19,1.35,45,Freshman,Biomed
Kyan Williams,15,1.13,59,Freshman,Business
Mac Brown,16,3.6,48,Sophomore,Criminsl Justice
Andrew Brown,18,1.0,59,Freshman,Early College
Max DeFreitas,18,3.28,49,Sophomore,Early Childhood Education
Chloe Davis,15,1.57,5,Victory Lap,Marketing
Andrew Garcia,15,4.24,12,Junior,Early College
Danielle Foster,18,2.72,4,Freshman,Culinary
Joe Williams,17,1.2,36,Freshman,Marketing
Sarah Davis,19,2.36,53,Freshman,Engineering
Noah Moore,15,3.31,53,Victory Lap,Marketing
Max Brown,15,2.87,32,Senior,Early Childhood Education
Mac DeFreitas,15,3.88,36,Junior,Biomed
Joe Williams,14,2.37,27,Junior,Early Childhood Education
Mac Garcia,14,3.01,14,Freshman,Criminsl Justice
Amelia Jones,19,2.99,54,Sophomore,Biomed
Danielle Smith,15,2.18,59,Victory Lap,Marketing
Mac Manukyan,14,0.47,25,Senior,Early College
Amelia Garcia,16,3.18,29,Sophomore,Business
Andrew Anderson,16,3.88,45,Junior,Biomed
Chloe Smith,19,3.68,47,Victory Lap,Biomed
Alexis Miller,16,2.9,0,Freshman,Early College
Danielle Brown,14,2.39,13,Sophomore,Biomed
Joe Smith,18,4.13,2,Victory Lap,Culinary
Mac Miller,17,0.67,11,Freshman,Early Childhood Education
Joe Fogarty,19,1.59,3,Victory Lap,Engineering
Amelia Miller,16,3.78,39,Junior,Marketing
Sarah Garcia,17,1.01,26,Freshman,Business
Ben Davis,15,2.4,9,Freshman,Construction
Danielle Anderson,15,1.42,15,Freshman,Marketing
Max Smith,18,2.81,40,Junior,Engineering
Kyan Garcia,19,3.9,54,Junior,Early College
Lisa Manukyan,14,2.18,54,Freshman,Early Childhood Education
Emily DeFreitas,19,1.55,54,Sophomore,Computer Science
Aiden Moore,17,3.78,47,Junior,Culinary
Jack Foster,15,2.87,22,Junior,Culinary
Aiden DeFreitas,16,0.6,4,Victory Lap,Construction
Mac Garcia,18,2.85,41,Senior,Early College
Lisa Fogarty,18,2.65,53,Sophomore,Criminsl Justice
Sarah Miller,14,3.17,32,Senior,Computer Science
Emily Miller,14,4.29,19,Senior,Marketing
Emma Williams,14,2.59,23,Victory Lap,Engineering
Ben Davis,14,2.19,23,Senior,Culinary
Bella Smith,15,1.33,56,Sophomore,Marketing
Jack Foster,16,2.12,15,Junior,Computer Science
Aiden Johnson,16,0.93,16,Sophomore,Engineering
Aiden Davis,17,2.11,50,Senior,Business
Aiden Foster,16,2.41,20,Sophomore,Early College
Amelia Miller,19,4.0,29,Freshman,Business
Mac Anderson,16,3.5,22,Victory Lap,Biomed
Emma Garcia,18,0.58,18,Senior,Engineering
Lisa Johnson,17,3.6,14,Victory Lap,Early Childhood Education
Emily Brown,18,2.85,48,Sophomore,Engineering
Emma Williams,16,3.88,23,Senior,Culinary
Emma Moore,18,2.64,9,Freshman,Engineering
Mac Manukyan,16,3.81,53,Junior,Criminsl Justice
Joe Williams,15,2.87,42,Sophomore,Business
Amelia Moore,19,3.3,51,Senior,Construction
Lisa Davis,14,2.69,16,Sophomore,Culinary
Emily Anderson,18,0.81,31,Victory Lap,Engineering
Andrew Miller,19,2.39,16,Freshman,Construction
Chloe Smith,19,2.17,14,Sophomore,Construction
Bella DeFreitas,14,1.44,6,Victory Lap,Biomed
Emily Foster,15,3.43,46,Senior,Biomed
Ben DeFreitas,15,1.09,44,Senior,Computer Science
Emma Brown,14,3.76,15,Junior,Criminsl Justice
Jack Anderson,17,2.87,49,Victory Lap,Marketing
Alexis Foster,14,3.32,33,Freshman,Marketing
Aiden Johnson,19,0.69,27,Victory Lap,Marketing
Ben Brown,18,2.6,50,Victory Lap,Engineering
Danielle Manukyan,14,3.81,27,Freshman,Early Childhood Education
Kyan Smith,14,1.72,49,Sophomore,Culinary
Sarah Garcia,14,0.42,28,Sophomore,Business
Ben Davis,18,4.01,12,Sophomore,Early College
Noah Garcia,16,3.98,9,Victory Lap,Early Childhood Education
Emily Fogarty,14,3.52,42,Victory Lap,Early Childhood Education
Lisa Manukyan,14,3.36,27,Senior,Early Childhood Education
Ben Miller,16,4.15,25,Senior,Culinary
Lisa Moore,19,3.88,59,Victory Lap,Engineering
Joe DeFreitas,15,1.11,15,Freshman,Biomed
Ben Fogarty,15,2.67,32,Freshman,Business
Noah Manukyan,15,2.23,49,Senior,Early College
Andrew Manukyan,15,1.56,27,Victory Lap,Engineering
Max Brown,16,1.46,46,Freshman,Criminsl Justice
Andrew Jones,15,0.37,15,Victory Lap,Engineering
Amelia DeFreitas,14,3.86,11,Sophomore,Early College
Max Brown,14,3.69,13,Sophomore,Early College
Aiden Davis,15,4.26,17,Junior,Business
Danielle Johnson,17,3.55,12,Victory Lap,Early College
Lisa Fogarty,15,0.93,55,Freshman,Construction
Emily Williams,16,2.13,28,Sophomore,Computer Science
Emma Davis,18,0.83,20,Freshman,Marketing
Ben Foster,16,3.98,53,Senior,Early College
Joe Manukyan,17,0.7,55,Junior,Computer Science
Lisa Johnson,17,2.67,9,Junior,Biomed
Lisa Smith,16,3.0,60,Sophomore,Criminsl Justice
Sarah Moore,14,3.58,11,Victory Lap,Biomed
Bella Anderson,17,2.82,34,Freshman,Culinary
Jack Jones,17,3.51,27,Victory Lap,Marketing
Alexis Miller,15,3.43,42,Junior,Business
Danielle Miller,15,4.02,59,Victory Lap,Computer Science
Emily Wilson,14,0.88,44,Junior,Criminsl Justice
Lisa Garcia,18,2.44,18,Junior,Computer Science
Emily Fogarty,14,1.75,12,Junior,Construction
Alexis Jones,14,3.38,38,Junior,Marketing
Chloe Anderson,16,1.43,23,Senior,Engineering
Kyan Moore,14,1.84,11,Senior,Computer Science
Chloe Foster,16,2.61,41,Senior,Culinary
Jack Wilson,16,3.64,13,Junior,Marketing
Aiden Fogarty,18,2.12,54,Junior,Biomed
Emma Johnson,19,3.21,11,Freshman,Early Childhood Education
Mac Foster,18,3.7,39,Victory Lap,Computer Science
Chloe Miller,19,2.01,23,Victory Lap,Construction
Alexis Garcia,19,0.65,12,Junior,Construction
Emily Smith,15,0.46,49,Junior,Early Childhood Education
Andrew Garcia,17,2.66,12,Freshman,Early College
Danielle Anderson,16,0.72,37,Senior,Construction
Noah Miller,17,4.29,31,Victory Lap,Business
Sarah DeFreitas,14,2.52,0,Victory Lap,Early College
Sarah Garcia,19,4.25,51,Sophomore,Engineering
Ben Smith,19,1.54,26,Junior,Engineering
Ben DeFreitas,17,1.64,34,Victory Lap,Biomed
Joe Manukyan,16,0.81,15,Sophomore,Marketing
Bella Brown,15,4.02,52,Sophomore,Biomed
Sarah DeFreitas,19,3.76,46,Victory Lap,Construction
Sarah Anderson,19,2.36,56,Victory Lap,Criminsl Justice
Noah Miller,14,4.21,25,Sophomore,Criminsl Justice
Emily Wilson,14,1.22,34,Sophomore,Computer Science
Aiden Smith,14,3.35,36,Victory Lap,Engineering
Danielle Moore,19,3.67,27,Junior,Marketing
Jack Anderson,17,3.75,37,Freshman,Business
Andrew Smith,14,1.34,47,Sophomore,Biomed
Danielle Foster,14,4.02,49,Victory Lap,Early Childhood Education
Emma Davis,17,1.45,4,Freshman,Business
Max DeFreitas,15,3.02,10,Sophomore,Computer Science
Danielle Anderson,16,2.87,37,Sophomore,Engineering
Andrew Moore,18,3.3,57,Junior,Engineering
Bella Foster,17,2.48,23,Victory Lap,Engineering
Aiden Anderson,19,1.66,17,Sophomore,Culinary
Joe Williams,16,1.09,9,Junior,Early College
Emily Miller,17,3.74,45,Freshman,Computer Science
Ben Foster,15,2.23,12,Freshman,Criminsl Justice
Amelia Jones,19,1.77,56,Victory Lap,Biomed
Kyan Miller,16,0.96,0,Sophomore,Construction
Chloe Manukyan,16,1.18,30,Freshman,Construction
Alexis Moore,17,3.25,35,Senior,Culinary
Aiden Johnson,17,0.97,6,Senior,Biomed
Alexis Manukyan,18,3.17,12,Junior,Marketing
Aiden Williams,16,2.9,20,Senior,Computer Science
Mac Fogarty,19,3.56,5,Sophomore,Criminsl Justice
Aiden Wilson,19,3.14,23,Junior,Computer Science
Aiden Smith,17,2.02,56,Sophomore,Culinary
Andrew Foster,18,4.3,27,Senior,Business
Alexis Jones,19,3.48,48,Senior,Criminsl Justice
Max Davis,14,3.62,22,Senior,Early College
Aiden Fogarty,18,0.41,46,Junior,Engineering
Danielle Johnson,16,2.29,20,Senior,Construction
Danielle Miller,19,2.17,60,Sophomore,Criminsl Justice
Emma Jones,19,1.61,58,Sophomore,Engineering
Ben Johnson,19,1.08,11,Sophomore,Early Childhood Education
Chloe Garcia,15,3.35,48,Victory Lap,Early College
Danielle Williams,14,3.61,4,Freshman,Early College
Mac Garcia,18,2.09,23,Junior,Early College
Joe Miller,18,3.05,50,Senior,Criminsl Justice
Max Moore,15,2.91,54,Sophomore,Business
Chloe Foster,16,2.57,26,Victory Lap,Culinary
Emily Foster,19,3.73,7,Junior,Early Childhood Education
Sarah Anderson,18,0.48,15,Senior,Computer Science
Kyan Jones,18,4.24,43,Freshman,Early Childhood Education
Emma Miller,18,0.6,0,Junior,Early College
Max Fogarty,19,0.42,10,Victory Lap,Culinary
Aiden Miller,19,0.58,2,Freshman,Engineering
Lisa Anderson,14,3.19,40,Sophomore,Early Childhood Education
Kyan Anderson,15,2.96,16,Senior,Biomed
Mac Davis,15,3.59,54,Junior,Construction
Max Garcia,19,1.16,2,Junior,Criminsl Justice
Chloe Johnson,15,4.09,47,Sophomore,Criminsl Justice
Kyan Garcia,18,2.13,37,Junior,Early Childhood Education
Sarah Williams,16,2.79,14,Senior,Biomed
Kyan Johnson,17,1.91,45,Junior,Computer Science
Emily Garcia,16,0.87,38,Senior,Early College
Sarah Fogarty,18,3.88,21,Junior,Business
Kyan Johnson,17,2.86,9,Junior,Culinary
Noah Williams,19,4.02,5,Freshman,Engineering
Chloe Davis,19,1.68,29,Senior,Culinary
Emily Miller,16,0.51,59,Freshman,Marketing
Alexis Wilson,17,2.45,55,Junior,Early College
Kyan Brown,17,0.77,11,Junior,Criminsl Justice
Bella Manukyan,14,1.32,17,Victory Lap,Engineering
Max DeFreitas,17,2.04,57,Sophomore,Biomed
Emily Smith,15,4.05,32,Freshman,Culinary
Mac Johnson,16,2.29,11,Victory Lap,Construction
Joe Moore,17,0.37,45,Freshman,Construction
Emily Miller,16,2.33,47,Junior,Early Childhood Education
Andrew Moore,16,1.97,52,Senior,Business
Emma Moore,14,1.02,1,Freshman,Construction
Alexis Williams,18,0.51,27,Sophomore,Construction
Aiden Smith,17,2.4,42,Senior,Biomed
Max Garcia,16,3.27,2,Freshman,Engineering
Chloe Foster,16,3.74,24,Victory Lap,Business
Danielle Fogarty,18,1.72,35,Senior,Biomed
Danielle Williams,16,0.73,13,Junior,Criminsl Justice
Max Garcia,15,1.33,58,Freshman,Computer Science
Andrew Moore,14,1.85,34,Sophomore,Construction
Bella Moore,14,3.23,30,Sophomore,Criminsl Justice
Chloe Davis,14,3.13,49,Junior,Early College
Alexis Anderson,15,2.17,9,Junior,Culinary
Sarah Williams,17,2.76,46,Victory Lap,Early Childhood Education
Bella Garcia,16,3.67,0,Sophomore,Business
Bella Davis,14,1.6,43,Sophomore,Early College
Ben Foster,17,3.22,19,Sophomore,Criminsl Justice
Noah DeFreitas,17,1.18,30,Freshman,Early College
Max Moore,15,3.2,59,Junior,Business
Mac Brown,14,0.9,16,Freshman,Engineering
Mac DeFreitas,17,1.81,32,Junior,Construction
Aiden Williams,19,1.07,45,Victory Lap,Computer Science
Chloe Foster,16,2.91,53,Victory Lap,Computer Science
Noah Foster,14,3.37,51,Sophomore,Biomed
Danielle Manukyan,19,3.99,22,Sophomore,Construction
Sarah Fogarty,18,0.69,24,Senior,Culinary
Emma Foster,16,2.58,58,Victory Lap,Construction
Jack Moore,18,2.49,22,Sophomore,Construction
Alexis Manukyan,16,3.2,7,Junior,Biomed
Mac Wilson,14,2.01,12,Senior,Computer Science
Joe Fogarty,17,3.35,59,Victory Lap,Early Childhood Education
Emily Anderson,17,1.54,20,Junior,Culinary
Sarah DeFreitas,14,2.84,33,Sophomore,Marketing
Joe DeFreitas,14,4.26,59,Freshman,Business
Kyan Fogarty,14,3.78,4,Senior,Criminsl Justice
Danielle Brown,16,3.88,14,Sophomore,Marketing
Bella Johnson,16,3.51,31,Junior,Biomed
Mac Fogarty,17,1.58,52,Senior,Early Childhood Education
Max Jones,16,2.47,53,Junior,Computer Science
Emma Brown,15,4.26,16,Victory Lap,Early College
Sarah Anderson,15,1.05,10,Junior,Business
Kyan Davis,19,1.81,13,Senior,Construction
Joe Moore,14,3.75,30,Freshman,Computer Science
Danielle Moore,17,3.14,33,Freshman,Engineering
Max Manukyan,17,2.2,21,Sophomore,Computer Science
Sarah Moore,16,2.06,36,Freshman,Engineering
Bella Foster,18,1.13,42,Junior,Construction
Amelia Smith,18,1.12,35,Sophomore,Culinary
Max Manukyan,17,2.38,3,Senior,Construction
Danielle Moore,16,3.05,53,Sophomore,Early Childhood Education
Jack Wilson,17,3.3,21,Victory Lap,Engineering
Chloe Moore,18,2.18,23,Victory Lap,Criminsl Justice
Emma Foster,14,3.78,14,Senior,Marketing
Emma Anderson,15,4.28,18,Victory Lap,Business
Kyan Fogarty,18,2.61,3,Junior,Early Childhood Education
Amelia Garcia,14,2.79,24,Victory Lap,Business
Andrew Miller,16,1.69,56,Sophomore,Criminsl Justice
Andrew Johnson,17,4.17,29,Freshman,Computer Science
Noah Smith,17,1.84,45,Victory Lap,Marketing
Aiden Williams,19,0.4,48,Junior,Business
Emily Wilson,17,0.71,32,Senior,Construction
Chloe Davis,18,1.21,27,Victory Lap,Marketing
Max Johnson,19,3.33,30,Victory Lap,Early Childhood Education
Kyan Williams,18,1.17,3,Victory Lap,Early Childhood Education
Joe Garcia,16,2.35,34,Sophomore,Marketing
Sarah Johnson,15,1.19,18,Freshman,Culinary
Amelia Garcia,14,1.84,56,Sophomore,Marketing
Ben Davis,19,1.96,53,Sophomore,Criminsl Justice
Bella Anderson,14,3.88,57,Senior,Marketing
Bella Wilson,15,4.19,47,Junior,Early College
Aiden Davis,15,3.87,19,Freshman,Criminsl Justice
Bella DeFreitas,18,2.53,55,Victory Lap,Early College
Lisa Manukyan,19,4.24,21,Sophomore,Criminsl Justice
Emily Johnson,19,2.44,8,Freshman,Culinary
Ben Garcia,18,1.66,45,Junior,Marketing
Ben Moore,14,2.88,59,Sophomore,Early College
Alexis Moore,17,1.17,40,Victory Lap,Biomed
Mac Davis,18,0.81,40,Sophomore,Construction
Mac Davis,16,1.42,59,Freshman,Culinary
Joe Wilson,16,3.34,8,Junior,Criminsl Justice
Emma Garcia,14,1.81,48,Victory Lap,Criminsl Justice
Aiden Wilson,16,1.27,33,Freshman,Biomed
Noah Jones,14,2.23,46,Freshman,Business
Chloe Davis,19,4.08,31,Freshman,Construction
Emily Johnson,15,4.23,44,Senior,Early Childhood Education
Noah Moore,18,4.07,39,Senior,Early Childhood Education
Bella Manukyan,18,4.03,9,Victory Lap,Construction
Noah Johnson,14,4.29,40,Senior,Culinary
Alexis Fogarty,19,4.05,42,Victory Lap,Early Childhood Education
Emily Foster,14,2.08,12,Sophomore,Computer Science
Danielle Davis,14,0.93,52,Freshman,Marketing
Andrew Foster,16,1.75,21,Freshman,Construction
Andrew Garcia,18,1.33,41,Victory Lap,Early Childhood Education
Amelia Brown,18,0.31,14,Senior,Criminsl Justice
Kyan DeFreitas,17,3.52,29,Senior,Engineering
Noah Jones,19,1.99,22,Senior,Biomed
Joe Johnson,14,1.04,60,Victory Lap,Marketing
Amelia Fogarty,19,3.03,21,Junior,Construction
Emma Fogarty,18,0.71,20,Sophomore,Engineering
Amelia Johnson,17,3.53,38,Freshman,Culinary
Chloe Smith,16,1.09,50,Freshman,Criminsl Justice
Kyan Davis,14,3.21,57,Junior,Business
Noah Johnson,18,2.66,19,Freshman,Early Childhood Education
Kyan Williams,17,3.81,7,Freshman,Early Childhood Education
Mac Manukyan,15,2.27,36,Victory Lap,Business
Sarah Brown,19,0.94,1,Freshman,Construction
Andrew Fogarty,14,3.59,51,Sophomore,Early Childhood Education
Bella DeFreitas,18,3.84,32,Senior,Computer Science
Emma Jones,16,0.47,57,Sophomore,Biomed
Amelia Foster,19,3.23,33,Victory Lap,Criminsl Justice
Sarah Fogarty,14,1.53,33,Sophomore,Construction
Danielle Anderson,19,0.72,8,Junior,Engineering
Chloe Williams,18,1.71,51,Sophomore,Early College
Alexis Jones,15,0.5,36,Senior,Marketing
Joe Davis,14,0.64,26,Victory Lap,Construction
Emma DeFreitas,17,2.13,6,Sophomore,Early College
Mac Davis,19,3.42,7,Junior,Computer Science
Emma Garcia,15,0.85,37,Freshman,Early Childhood Education
Max Fogarty,14,3.58,13,Victory Lap,Business
Joe Williams,14,1.96,19,Freshman,Engineering
Andrew Wilson,17,3.48,46,Junior,Construction
Alexis Smith,17,2.55,12,Freshman,Biomed
Andrew Fogarty,14,1.18,59,Junior,Culinary
Sarah Davis,17,1.76,40,Freshman,Early Childhood Education
Sarah Foster,15,2.05,17,Sophomore,Construction
Lisa Johnson,15,1.62,33,Senior,Culinary
Aiden Garcia,19,1.55,59,Victory Lap,Biomed
Joe Wilson,15,2.19,50,Victory Lap,Early Childhood Education
Noah Davis,18,2.64,14,Victory Lap,Business
Emma Smith,15,0.76,59,Junior,Engineering
Ben Fogarty,17,1.53,47,Victory Lap,Business
Andrew Fogarty,16,0.58,30,Freshman,Business
Emma Wilson,17,1.58,28,Victory Lap,Engineering
Max Garcia,17,3.1,18,Junior,Construction
Kyan Williams,14,3.53,60,Sophomore,Early Childhood Education
Noah Anderson,19,1.65,29,Senior,Business
Max Johnson,16,3.38,48,Sophomore,Early Childhood Education
Amelia Smith,14,3.99,39,Victory Lap,Computer Science
Ben Fogarty,19,3.88,28,Junior,Construction
Emma Anderson,15,2.21,19,Sophomore,Computer Science
Aiden DeFreitas,19,3.53,26,Sophomore,Early College
Chloe Williams,19,1.55,12,Junior,Criminsl Justice
Emma Anderson,15,4.24,52,Freshman,Early Childhood Education
Emily Moore,17,3.07,7,Freshman,Business
Noah Fogarty,19,3.84,54,Victory Lap,Biomed
Sarah Anderson,18,0.45,4,Victory Lap,Criminsl Justice
Lisa Miller,17,1.48,16,Junior,Biomed
Mac Jones,19,1.14,31,Senior,Construction
Mac Manukyan,19,0.76,28,Freshman,Engineering
Emma Williams,18,0.6,18,Victory Lap,Biomed
Amelia Miller,19,3.03,11,Junior,Construction
Danielle Brown,15,0.45,14,Senior,Early Childhood Education
Alexis Miller,19,2.58,44,Junior,Engineering
Noah Smith,19,4.23,9,Junior,Culinary
Noah Manukyan,15,0.76,26,Victory Lap,Early Childhood Education
Ben Miller,15,1.85,57,Freshman,Culinary
Aiden Jones,17,1.06,19,Freshman,Culinary
Emily Williams,14,3.32,4,Freshman,Early Childhood Education
Max Brown,15,3.0,59,Sophomore,Marketing
Emily Manukyan,17,0.89,20,Junior,Engineering
Sarah Fogarty,15,3.08,6,Junior,Criminsl Justice
Max Anderson,15,0.97,16,Freshman,Culinary
Aiden Davis,17,3.73,20,Freshman,Business
Lisa Moore,17,4.0,4,Senior,Criminsl Justice
Mac Davis,18,0.41,36,Senior,Engineering
Aiden Williams,19,4.03,28,Victory Lap,Business
Kyan Foster,19,0.43,19,Freshman,Construction
Noah Anderson,17,1.36,25,Junior,Construction
Joe Wilson,17,1.76,43,Victory Lap,Construction
Noah Wilson,17,0.84,13,Freshman,Construction
Emily Jones,17,2.33,16,Senior,Engineering
Sarah Davis,17,1.65,22,Freshman,Business
Lisa Jones,19,1.91,7,Freshman,Early Childhood Education
Bella Davis,15,3.42,22,Freshman,Culinary
Max Manukyan,17,3.66,49,Sophomore,Culinary
Jack DeFreitas,17,2.77,9,Sophomore,Construction
Ben Anderson,17,4.12,38,Victory Lap,Marketing
Mac Moore,15,2.97,7,Senior,Computer Science
Mac Johnson,16,1.33,38,Victory Lap,Early Childhood Education
Sarah Wilson,18,3.16,24,Sophomore,Business
Kyan Smith,19,2.42,50,Victory Lap,Marketing
Emma Davis,19,1.84,48,Senior,Culinary
Amelia Williams,14,3.5,34,Freshman,Marketing
Emily DeFreitas,18,0.7,16,Sophomore,Early College
Chloe Smith,17,2.85,54,Senior,Computer Science
Kyan DeFreitas,18,2.8,15,Senior,Computer Science
Chloe Miller,19,1.16,42,Freshman,Early Childhood Education
Noah DeFreitas,14,1.87,15,Junior,Computer Science
Noah Manukyan,16,1.52,11,Victory Lap,Engineering
Bella Fogarty,14,0.31,8,Junior,Culinary
Noah Miller,15,1.07,29,Senior,Computer Science
Amelia Foster,14,2.06,15,Senior,Early College
Jack Anderson,15,3.37,14,Sophomore,Biomed
Danielle Johnson,15,3.51,31,Junior,Construction
Kyan Smith,15,4.11,4,Freshman,Business
Noah Brown,14,4.02,31,Junior,Early Childhood Education
Chloe Miller,15,1.74,31,Victory Lap,Early Childhood Education
Danielle Manukyan,19,1.46,50,Senior,Business
Max Garcia,19,0.42,50,Sophomore,Early Childhood Education
Sarah Manukyan,17,2.54,21,Junior,Engineering
Aiden DeFreitas,15,2.7,40,Freshman,Culinary
Alexis Smith,15,0.35,55,Victory Lap,Marketing
Max Jones,14,3.25,60,Victory Lap,Computer Science
Danielle Anderson,15,1.23,9,Senior,Computer Science
Jack Manukyan,16,0.8,10,Freshman,Business
Mac Manukyan,14,3.34,42,Senior,Computer Science
Amelia Smith,18,2.74,54,Senior,Engineering
Sarah Manukyan,15,0.87,35,Senior,Biomed
Sarah Miller,16,1.34,5,Freshman,Engineering
Bella Johnson,19,4.1,29,Sophomore,Biomed
Mac DeFreitas,17,2.41,4,Victory Lap,Marketing
Aiden Foster,17,1.3,57,Freshman,Construction
Joe DeFreitas,17,2.42,34,Freshman,Business
Lisa Brown,16,1.73,14,Senior,Marketing
Andrew Smith,16,2.82,54,Freshman,Engineering
Sarah Garcia,19,1.58,2,Freshman,Marketing
Joe Manukyan,18,2.89,49,Victory Lap,Criminsl Justice
Ben Wilson,18,1.52,16,Senior,Culinary
Lisa Garcia,19,3.48,9,Freshman,Engineering
Chloe Foster,19,4.26,3,Sophomore,Business
Emily Manukyan,18,3.16,4,Senior,Criminsl Justice
Sarah Williams,14,4.26,56,Senior,Criminsl Justice
Ben Anderson,18,3.65,3,Senior,Culinary
Jack Williams,14,4.1,1,Junior,Early Childhood Education
Max Fogarty,18,2.49,12,Senior,Early Childhood Education
Alexis Brown,15,1.75,35,Victory Lap,Business
Sarah Anderson,17,1.47,14,Freshman,Marketing
Alexis Fogarty,15,1.79,25,Sophomore,Culinary
Emma Moore,14,2.97,56,Senior,Biomed
Emma Miller,16,1.08,12,Junior,Criminsl Justice
Jack DeFreitas,14,0.56,36,Senior,Biomed
Emma Smith,19,1.63,52,Freshman,Criminsl Justice
Jack Williams,17,2.25,49,Victory Lap,Early College
